,0
496.992945345,496.992945345
305.1223068958,305.1223068958
214.1932519061,214.1932519061
625.0834527575,625.0834527575
319.0184694573,319.0184694573
282.0869772451,282.0869772451
388.087619562,388.087619562
329.3293864202,329.3293864202
248.9766353425,248.9766353425
223.0708561377,223.0708561377
624.0791697388,624.0791697388
479.2647976741,479.2647976741
356.0197679874,356.0197679874
284.2351682088,284.2351682088
390.1484138682,390.1484138682
200.1775759522,200.1775759522
458.81621537,458.81621537
625.0943321773,625.0943321773
332.0168963401,332.0168963401
426.0879086592,426.0879086592
259.7045817515,259.7045817515
770.6384724525,770.6384724525
432.9804348623,432.9804348623
373.3191901786,373.3191901786
253.1538366941,253.1538366941
348.0601133416,348.0601133416
423.0947593639,423.0947593639
461.1541805823,461.1541805823
612.2925068119,612.2925068119
371.339965472,371.339965472
510.4648024932,510.4648024932
626.0812779721,626.0812779721
381.3242811201,381.3242811201
626.3062660252,626.3062660252
354.1493661105,354.1493661105
474.0138040874,474.0138040874
389.1926807694,389.1926807694
544.339338246,544.339338246
649.200046692,649.200046692
761.0860451204,761.0860451204
937.1304783395,937.1304783395
283.9927244606,283.9927244606
410.0858206748,410.0858206748
218.0193438922,218.0193438922
353.0892995811,353.0892995811
401.9988525717,401.9988525717
617.1164014729,617.1164014729
405.1280051031,405.1280051031
249.9643149061,249.9643149061
555.2627359409,555.2627359409
522.1746334422,522.1746334422
435.0624120409,435.0624120409
323.9324359502,323.9324359502
241.204121889,241.204121889
410.0910530921,410.0910530921
332.1578594939,332.1578594939
548.9644229656,548.9644229656
395.2438089883,395.2438089883
397.2464108725,397.2464108725
494.3224625032,494.3224625032
518.1594907263,518.1594907263
247.1532269203,247.1532269203
614.1477412194,614.1477412194
256.117216464,256.117216464
456.0912650935,456.0912650935
614.167638901,614.167638901
264.1033565562,264.1033565562
200.2930225885,200.2930225885
470.3395769081,470.3395769081
555.2597446175,555.2597446175
414.1389151466,414.1389151466
326.1770105373,326.1770105373
382.1029848711,382.1029848711
556.2776201481,556.2776201481
206.0006536605,206.0006536605
663.106218396,663.106218396
226.1065476547,226.1065476547
208.0710454509,208.0710454509
276.133174426,276.133174426
322.1488852059,322.1488852059
639.4225735979,639.4225735979
304.5942679322,304.5942679322
343.3086546246,343.3086546246
474.1858052166,474.1858052166
338.1132015605,338.1132015605
438.0654899793,438.0654899793
374.9848109481,374.9848109481
780.1034615715,780.1034615715
303.2926416216,303.2926416216
289.1386375937,289.1386375937
354.2079931844,354.2079931844
231.7409715767,231.7409715767
718.4016184159,718.4016184159
288.6193596715,288.6193596715
264.2452587364,264.2452587364
264.952237317,264.952237317
519.3254345311,519.3254345311
264.1055611361,264.1055611361
576.9592047858,576.9592047858
555.2774461917,555.2774461917
260.148486954,260.148486954
237.2174398563,237.2174398563
294.1831072977,294.1831072977
556.2680277382,556.2680277382
302.1283052397,302.1283052397
309.3031939549,309.3031939549
344.1470923138,344.1470923138
315.2045967721,315.2045967721
327.0663967376,327.0663967376
398.1351165693,398.1351165693
694.2763875395,694.2763875395
338.185930009,338.185930009
493.3119054253,493.3119054253
255.0742012062,255.0742012062
489.1855185508,489.1855185508
246.0068104707,246.0068104707
213.0943646429,213.0943646429
687.1669258725,687.1669258725
220.9748978959,220.9748978959
316.2766158004,316.2766158004
227.9346895623,227.9346895623
307.0808150513,307.0808150513
624.0963419823,624.0963419823
251.0657701321,251.0657701321
625.0842889813,625.0842889813
494.3182002569,494.3182002569
382.175747131,382.175747131
347.0644411895,347.0644411895
248.9225873588,248.9225873588
511.4083789346,511.4083789346
356.1237549523,356.1237549523
540.9845337887,540.9845337887
708.4425049404,708.4425049404
286.011417299,286.011417299
555.2610505169,555.2610505169
431.2730337484,431.2730337484
224.0632478938,224.0632478938
265.1015050707,265.1015050707
533.2707365086,533.2707365086
809.2143748273,809.2143748273
230.0102363015,230.0102363015
428.1545779722,428.1545779722
472.2971114873,472.2971114873
358.0103014225,358.0103014225
292.2110983906,292.2110983906
310.0818762378,310.0818762378
440.2270958269,440.2270958269
268.0713226384,268.0713226384
316.1463662551,316.1463662551
398.1388720106,398.1388720106
354.108099261,354.108099261
312.0975382871,312.0975382871
257.9575419172,257.9575419172
378.2307302106,378.2307302106
482.1140919563,482.1140919563
288.9758777322,288.9758777322
415.3661310781,415.3661310781
410.2070680253,410.2070680253
308.0899960785,308.0899960785
259.7058464663,259.7058464663
325.0494758924,325.0494758924
254.1379250845,254.1379250845
274.9602819761,274.9602819761
204.8962034267,204.8962034267
417.1482358944,417.1482358944
370.1059521707,370.1059521707
213.9556022868,213.9556022868
781.1061422297,781.1061422297
340.1288250279,340.1288250279
359.1427808692,359.1427808692
203.0816321195,203.0816321195
229.2123516866,229.2123516866
389.2777116579,389.2777116579
394.1157975983,394.1157975983
379.1049581299,379.1049581299
556.2769642265,556.2769642265
343.5336148888,343.5336148888
344.2021408518,344.2021408518
310.0835220968,310.0835220968
248.0382813898,248.0382813898
588.3657119566,588.3657119566
317.2202471039,317.2202471039
512.987846093,512.987846093
355.6157973903,355.6157973903
624.0799874356,624.0799874356
766.4846521513,766.4846521513
664.1143369779,664.1143369779
384.2188536141,384.2188536141
561.1740363894,561.1740363894
366.0204309392,366.0204309392
384.1550071491,384.1550071491
580.3011984536,580.3011984536
230.0104201643,230.0104201643
341.2202225423,341.2202225423
782.1032543173,782.1032543173
486.158393482,486.158393482
403.0301559141,403.0301559141
470.0623177426,470.0623177426
278.0674353995,278.0674353995
821.5436192225,821.5436192225
555.2805934815,555.2805934815
425.3504768407,425.3504768407
436.0498604488,436.0498604488
628.0808978062,628.0808978062
345.2515059063,345.2515059063
664.1060643416,664.1060643416
597.3754670206,597.3754670206
541.0595447688,541.0595447688
316.1440948471,316.1440948471
478.0399819579,478.0399819579
468.214819547,468.214819547
475.299181078,475.299181078
311.9609997131,311.9609997131
264.1052858611,264.1052858611
480.1800051756,480.1800051756
422.2814346181,422.2814346181
358.1393861879,358.1393861879
526.2542721547,526.2542721547
618.1815641066,618.1815641066
252.1361593401,252.1361593401
555.2790351782,555.2790351782
